domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test04_10.graph,aot2,optimistic,5000,10,0.5,100,90.36200,1.24668,2979.79
ctp3,test04_10.graph,aot-value2,optimistic,10,10,0.5,100,88.58000,1.25821,2.86
ctp3,test04_10.graph,aot-value2,optimistic,50,10,0.5,100,89.40500,1.33080,12.66
ctp3,test04_10.graph,aot-value2,optimistic,100,10,0.5,100,89.73700,1.26144,24.50
ctp3,test04_10.graph,aot-value2,optimistic,500,10,0.5,100,88.57200,1.23198,115.90
ctp3,test04_10.graph,aot-value2,optimistic,1000,10,0.5,100,93.04500,1.35953,210.76
ctp3,test04_10.graph,aot-value2,optimistic,5000,10,0.5,100,86.64600,1.15566,1869.14
ctp3,test05_10.graph,aot-value2,optimistic,500,10,0.5,100,99.78700,1.40495,106.82
ctp3,test05_10.graph,aot-value2,optimistic,1000,10,0.5,100,99.92800,1.46350,195.28
ctp3,test05_10.graph,aot-value2,optimistic,5000,10,0.5,100,96.48100,1.42713,1705.09
ctp3,test05_10.graph,uct2,optimistic,100,10,0,NA,126.60700,2.20451,20.98
ctp3,test05_10.graph,uct2,optimistic,500,10,0,NA,122.57600,1.85739,104.47
ctp3,test05_10.graph,uct2,optimistic,1000,10,0,NA,112.93500,1.82039,205.26
ctp3,test05_10.graph,uct2,optimistic,5000,10,0,NA,109.18600,1.77088,997.35
ctp3,test05_10.graph,uct2,optimistic,10000,10,0,NA,104.94200,1.66824,1952.94
ctp3,test05_10.graph,aot2,optimistic,10,10,0.5,100,111.65500,1.72406,21.62
ctp3,test05_10.graph,aot2,optimistic,50,10,0.5,100,101.55100,1.53754,105.90
ctp3,test05_10.graph,aot2,optimistic,100,10,0.5,100,99.77700,1.49741,192.73
ctp3,test05_10.graph,aot2,optimistic,500,10,0.5,100,94.89000,1.45702,531.37
ctp3,test05_10.graph,aot2,optimistic,1000,10,0.5,100,94.10100,1.39589,774.16
ctp3,test05_10.graph,aot2,optimistic,5000,10,0.5,100,94.33300,1.47130,2903.81
ctp3,test05_10.graph,aot-value2,optimistic,10,10,0.5,100,98.67400,1.46082,2.61
ctp3,test05_10.graph,aot-value2,optimistic,50,10,0.5,100,107.33200,1.68448,13.35
ctp3,test05_10.graph,aot-value2,optimistic,100,10,0.5,100,98.41400,1.50348,24.69
ctp3,test06_10.graph,uct2,optimistic,100,10,0,NA,97.10300,1.54182,18.66
ctp3,test06_10.graph,uct2,optimistic,500,10,0,NA,84.27600,1.30435,85.74
ctp3,test06_10.graph,uct2,optimistic,1000,10,0,NA,80.76300,1.22336,167.25
ctp3,test06_10.graph,uct2,optimistic,5000,10,0,NA,76.42600,1.03969,780.77
ctp3,test06_10.graph,uct2,optimistic,10000,10,0,NA,76.76000,1.03387,1525.74
