domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test03_20_T.graph,ao3,optimistic,500,20,0.5,50,439.43799,6.04144,19431.38
ctp3,test03_20_T.graph,ao3,optimistic,1000,20,0.5,50,429.60901,5.95073,28837.55
ctp3,test03_20_T.graph,ao3,optimistic,5000,20,0.5,50,389.04999,5.08315,72295.65
ctp3,test03_20_T.graph,ao3,random,100,20,0.5,100,390.04199,7.19518,3955.35
ctp3,test03_20_T.graph,ao3,random,500,20,0.5,100,307.39200,5.44816,15929.97
ctp3,test03_20_T.graph,ao3,random,1000,20,0.5,100,292.89200,4.82420,24121.44
ctp3,test03_20_T.graph,ao3,random,5000,20,0.5,100,287.57800,4.63982,54544.48
ctp3,test03_20_T.graph,ao3,optimistic,100,20,0.5,100,523.28198,8.37059,5439.91
ctp3,test03_20_T.graph,ao3,optimistic,500,20,0.5,100,458.77899,6.50776,22883.82
ctp3,test03_20_T.graph,ao3,optimistic,1000,20,0.5,100,431.65799,5.83176,37522.98
ctp3,test03_20_T.graph,ao3,optimistic,5000,20,0.5,100,385.59100,4.95266,90048.00
ctp3,test03_20_T.graph,ao3,random,100,20,0.9,500,386.00500,7.17768,3962.90
ctp3,test03_20_T.graph,ao3,random,500,20,0.9,500,369.78500,6.54841,18873.61
ctp3,test03_20_T.graph,ao3,random,1000,20,0.9,500,322.62399,5.59579,34703.77
ctp3,test03_20_T.graph,ao3,optimistic,100,20,0.9,500,531.40503,8.30040,5472.69
ctp3,test03_20_T.graph,ao3,optimistic,500,20,0.9,500,505.37500,7.07919,25790.40
ctp3,test03_20_T.graph,ao3,optimistic,1000,20,0.9,500,480.40399,6.41821,49342.43
ctp3,test04_20_T.graph,ao3,random,100,20,0.5,500,144.86200,4.56265,3905.34
ctp3,test04_20_T.graph,ao3,random,500,20,0.5,500,124.83500,3.54621,19199.38
ctp3,test04_20_T.graph,ao3,random,1000,20,0.5,500,115.53500,3.00961,36769.11
ctp3,test04_20_T.graph,ao3,random,5000,20,0.5,500,113.27000,2.96390,118809.81
ctp3,test04_20_T.graph,ao3,random,10000,20,0.5,500,122.07900,3.21092,163225.14
ctp3,test04_20_T.graph,ao3,optimistic,100,20,0.5,500,174.43800,5.64179,4109.80
ctp3,test04_20_T.graph,ao3,optimistic,500,20,0.5,500,166.27100,5.04920,20813.50
ctp3,test04_20_T.graph,ao3,optimistic,1000,20,0.5,500,151.71899,4.63339,39120.67
ctp3,test04_20_T.graph,ao3,optimistic,5000,20,0.5,500,139.62100,3.93338,155694.91
ctp3,test04_20_T.graph,ao3,optimistic,10000,20,0.5,500,134.65601,3.63299,248989.52
ctp3,test04_20_T.graph,ao3,random,100,20,0.1,500,145.55800,4.62576,3865.95
ctp3,test04_20_T.graph,ao3,random,500,20,0.1,500,131.92799,3.98187,18959.51
ctp3,test04_20_T.graph,ao3,random,1000,20,0.1,500,122.11000,3.39329,36728.39
