
exp = #expansions per recomputation of deltas

--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
test05_20_T  uct        optimistic  10000   NA  159.94       2.64        7137.35
test05_20_T  uct        random        100   NA  219.53       4.62          86.99
test05_20_T  uct        random        500   NA  189.75       4.00         406.29
test05_20_T  uct        random       1000   NA  180.69       3.79         782.76
test05_20_T  uct        random       5000   NA  179.77       3.53        3787.83
test05_20_T  uct        random      10000   NA  171.30       3.45        7153.89
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
test06_20_T  aot        optimistic    100   50  164.69       2.95        4250.85
test06_20_T  aot        optimistic    100  100  162.72       3.13        4431.32
test06_20_T  aot        optimistic    100  500  165.76       3.15        4418.34
test06_20_T  aot        optimistic    500   50  157.44       2.56       16321.04
test06_20_T  aot        optimistic    500  100  159.84       2.55       18642.49
test06_20_T  aot        optimistic    500  500  154.50       2.69       19870.62
test06_20_T  aot        optimistic   1000   50  156.13       2.49       26224.77
test06_20_T  aot        optimistic   1000  100  154.76       2.53       31069.95
test06_20_T  aot        optimistic   1000  500  153.65       2.56       38721.16
test06_20_T  aot        optimistic   5000   50  154.31       2.40       74714.98
test06_20_T  aot        optimistic   5000  100  156.37       2.39       84437.28
test06_20_T  aot        optimistic   5000  500  145.40       2.28      139772.75
test06_20_T  aot        optimistic  10000  500  150.73       2.23      205680.25
test06_20_T  aot        random        100   50  176.77       3.19        5718.78
test06_20_T  aot        random        100  100  185.50       3.42        5819.94
test06_20_T  aot        random        100  500  185.96       3.55        5734.85
test06_20_T  aot        random        500   50  173.17       3.06       20201.32
test06_20_T  aot        random        500  100  170.23       2.92       24094.58
test06_20_T  aot        random        500  500  159.83       2.69       26170.93
test06_20_T  aot        random       1000   50  174.75       3.07       28097.34
test06_20_T  aot        random       1000  100  173.26       3.00       36946.25
test06_20_T  aot        random       1000  500  164.31       2.73       50239.98
test06_20_T  aot        random       5000   50  177.06       3.11       60406.18
test06_20_T  aot        random       5000  100  167.53       2.85       73327.14
test06_20_T  aot        random       5000  500  153.46       2.32      156527.75
test06_20_T  aot        random      10000  500  165.48       2.89      202563.78
test06_20_T  uct        optimistic    100   NA  289.31       4.79         100.09
test06_20_T  uct        optimistic    500   NA  208.93       3.40         462.04
test06_20_T  uct        optimistic   1000   NA  189.87       3.11         904.94
test06_20_T  uct        optimistic   5000   NA  171.82       2.75        4266.71
test06_20_T  uct        optimistic  10000   NA  166.26       2.62        8163.10
test06_20_T  uct        random        100   NA  293.47       5.05         114.30
test06_20_T  uct        random        500   NA  218.52       3.95         484.57
test06_20_T  uct        random       1000   NA  217.34       3.85         953.92
test06_20_T  uct        random       5000   NA  208.68       3.90        4228.38
test06_20_T  uct        random      10000   NA  205.23       3.59        8179.34
--------------------------------------------------------------------------------
problem      algorithm  base        width  exp  quality.avg  quality.stdev  time
