--------------------------------------------------------------------------------
problem  algorithm  base    width  depth  exp  quality.avg  quality.stdev  time
 75      uct        random     25   75     NA  38.51        0.11          95.22
 75      uct        random     50   75     NA  33.95        0.12         192.70
 75      uct        random    100   75     NA  30.76        0.14         389.60
 75      uct        random    250   75     NA  28.69        0.16         937.89
 75      uct        random    500   75     NA  27.26        0.17        1879.12
 75      uct        random   1000   75     NA  26.48        0.18        3947.61
 75      uct        random   2500   75     NA  26.89        0.17        9651.56
 75      uct        random   5000   75     NA  26.81        0.18       19662.88
 75      uct        random  10000   75     NA  26.35        0.17       40751.24
--------------------------------------------------------------------------------
problem  algorithm  base    width  depth  exp  quality.avg  quality.stdev  time
--------------------------------------------------------------------------------
100      aot        greedy     10  100    100  30.81        0.14        3329.86
100      aot        greedy     50  100    100  26.20        0.15       17333.21
100      aot        greedy    100  100    100  25.83        0.15       33508.29
100      aot        greedy    500  100    100  25.84        0.15      165934.83
********************************************************************************
********************************************************************************
100      aot        random     10  100    100  30.78        0.13        1022.10
100      aot        random     50  100    100  25.91        0.15        5141.29
100      aot        random    100  100    100  25.84        0.15       10323.93
100      aot        random    500  100    100  25.84        0.16       53204.26
100      aot        random   1000  100    100  25.99        0.16      110673.13
********************************************************************************
100      uct        greedy     10  100     NA  43.13        0.12         163.99
100      uct        greedy     25  100     NA  38.89        0.13         429.55
100      uct        greedy     50  100     NA  34.96        0.14         846.30
100      uct        greedy    100  100     NA  31.46        0.15        1668.71
100      uct        greedy    250  100     NA  29.38        0.16        4262.77
100      uct        greedy    500  100     NA  27.35        0.16        8272.57
100      uct        greedy   1000  100     NA  26.69        0.17       17754.20
100      uct        greedy   2500  100     NA  26.18        0.17       41918.14
100      uct        greedy   5000  100     NA  26.09        0.16       81175.30
100      uct        greedy  10000  100     NA  26.22        0.16      160343.02
100      uct        random     10  100     NA  44.43        0.10          49.74
100      uct        random     25  100     NA  38.77        0.11         124.30
100      uct        random     50  100     NA  34.30        0.13         248.28
100      uct        random    100  100     NA  30.85        0.14         520.72
100      uct        random    250  100     NA  28.42        0.15        1246.83
100      uct        random    500  100     NA  27.47        0.17        2491.49
100      uct        random   1000  100     NA  26.60        0.17        5010.44
100      uct        random   2500  100     NA  26.56        0.18       13470.93
100      uct        random   5000  100     NA  26.32        0.17       25914.22
100      uct        random  10000  100     NA  26.50        0.18       52680.76
--------------------------------------------------------------------------------
