---------------------------------------------------------------------------
problem    algorithm   base        width  quality.avg  quality.stdev  time
test08_10  aot-random  optimistic   1000   82.30       2.17          124.77
test08_10  aot-random  optimistic   5000   79.99       2.02         2513.02
test08_10  aot-random  random         10   94.20       2.93            4.76
test08_10  aot-random  random         50   93.58       2.84            6.82
test08_10  aot-random  random        100   90.70       2.73            9.66
test08_10  aot-random  random        500   87.23       2.45           44.87
test08_10  aot-random  random       1000   84.63       2.34          127.33
test08_10  aot-random  random       5000   81.15       2.16         2874.71
test08_10  aot-value   optimistic     10   74.69       2.03            1.57
test08_10  aot-value   optimistic     50   72.17       1.83            7.88
test08_10  aot-value   optimistic    100   73.96       2.10           14.18
test08_10  aot-value   optimistic    500   68.18       1.53           59.85
test08_10  aot-value   optimistic   1000   65.02       1.39          121.58
test08_10  aot-value   optimistic   5000   65.68       1.35          808.17
test08_10  uct         optimistic     10   83.11       2.54            0.90
test08_10  uct         optimistic     50   90.54       2.66            4.61
test08_10  uct         optimistic    100   86.63       2.51            8.99
test08_10  uct         optimistic    500   71.60       1.87           39.07
test08_10  uct         optimistic   1000   66.24       1.61           73.56
test08_10  uct         optimistic   5000   65.17       1.38          357.30
test08_10  uct         optimistic  10000   68.18       1.57          709.94
test08_10  uct         random         10   92.66       2.89            1.10
test08_10  uct         random         50   90.48       2.74            5.06
test08_10  uct         random        100   79.50       2.30            9.20
test08_10  uct         random        500   74.77       2.06           41.07
test08_10  uct         random       1000   73.22       1.95           79.07
test08_10  uct         random       5000   73.93       1.89          382.09
test08_10  uct         random      10000   71.59       1.72          736.34
---------------------------------------------------------------------------
problem    algorithm   base        width  quality.avg  quality.stdev  time
---------------------------------------------------------------------------
test09_10  aot         optimistic     10  101.32       2.14           19.64
test09_10  aot         optimistic     50   92.65       1.81           82.06
test09_10  aot         optimistic    100   87.50       1.66          147.48
test09_10  aot         optimistic    500   82.75       1.43          401.37
test09_10  aot         optimistic   1000   81.70       1.41          564.28
test09_10  aot         optimistic   5000   82.64       1.43         2093.65
test09_10  aot         random         10   99.77       2.29           19.67
test09_10  aot         random         50   82.03       1.70           84.62
test09_10  aot         random        100   78.00       1.50          149.62
test09_10  aot         random        500   74.56       1.33          392.22
