domain,problem,algorithm,base,width,depth,par,exp,quality-avg,quality-stdev,time
ctp3,test02_10.graph,uct,optimistic,500,10,0,NA,133.01300,1.88542,90.84
ctp3,test02_10.graph,uct,optimistic,1000,10,0,NA,123.83200,1.71187,175.79
ctp3,test02_10.graph,uct,optimistic,5000,10,0,NA,117.83700,1.58072,827.94
ctp3,test02_10.graph,uct,optimistic,10000,10,0,NA,118.75700,1.57104,1601.90
ctp3,test02_10.graph,aot-random,optimistic,10,10,0.5,100,147.87900,2.47466,7.98
ctp3,test02_10.graph,aot-random,optimistic,50,10,0.5,100,143.15500,2.25218,11.47
ctp3,test02_10.graph,aot-random,optimistic,100,10,0.5,100,143.46100,2.18013,15.91
ctp3,test02_10.graph,aot-random,optimistic,500,10,0.5,100,143.30000,2.11793,70.53
ctp3,test02_10.graph,aot-random,optimistic,1000,10,0.5,100,137.99699,2.00769,187.54
ctp3,test02_10.graph,aot-random,optimistic,5000,10,0.5,100,133.19200,1.79113,3818.85
ctp3,test02_10.graph,aot,random,10,10,0.5,100,143.05299,2.09042,30.79
ctp3,test02_10.graph,aot,random,50,10,0.5,100,127.42200,1.88436,127.28
ctp3,test02_10.graph,aot,random,100,10,0.5,100,124.71600,1.72933,236.47
ctp3,test02_10.graph,aot,random,500,10,0.5,100,125.39100,1.68414,659.63
ctp3,test02_10.graph,aot,random,1000,10,0.5,100,121.58500,1.63264,881.98
ctp3,test02_10.graph,aot,random,5000,10,0.5,100,121.08700,1.62174,2642.92
ctp3,test02_10.graph,aot,optimistic,10,10,0.5,100,135.32500,2.04853,24.53
ctp3,test02_10.graph,aot,optimistic,50,10,0.5,100,119.00500,1.68005,108.24
ctp3,test02_10.graph,aot,optimistic,100,10,0.5,100,120.44400,1.61473,201.14
ctp3,test02_10.graph,aot,optimistic,500,10,0.5,100,116.55300,1.53768,588.52
ctp3,test02_10.graph,aot,optimistic,1000,10,0.5,100,115.55600,1.44283,875.69
ctp3,test02_10.graph,aot,optimistic,5000,10,0.5,100,113.64100,1.34080,3534.16
ctp3,test03_10.graph,aot-random,random,10,10,0.5,100,73.08700,2.11393,8.95
ctp3,test03_10.graph,aot-random,random,50,10,0.5,100,77.68700,2.27211,11.92
